HexHash,Type,Name,Symbol,Precision,Hash
0xc56f33fc6ecfcd0c225c4ab356fee59390af8560be0e930faebe74a6daff7c9b,GoverningToken,NEO,NEO,0,c56f33fc6ecfcd0c225c4ab356fee59390af8560be0e930faebe74a6daff7c9b
0x602c79718b16e442de58778e148d0b1084e3b2dffd5de6b7b16cee7969282de7,UtilityToken,GAS,GAS,8,602c79718b16e442de58778e148d0b1084e3b2dffd5de6b7b16cee7969282de7
0xceab719b8baa2310f232ee0d277c061704541cfb,NEP5,Ontology Token,ONT,8,ceab719b8baa2310f232ee0d277c061704541cfb
0x132947096727c84c7f9e076c90f08fec3bc17f18,NEP5,THEKEY Token,TKY,8,132947096727c84c7f9e076c90f08fec3bc17f18
0x81c089ab996fc89c468a26c0a88d23ae2f34b5c0,NEP5,Endorsit Shares,EDS,8,81c089ab996fc89c468a26c0a88d23ae2f34b5c0
0xecc6b20d3ccac1ee9ef109af5a7cdb85706b1df9,NEP5,Red Pulse Token,RPX,8,ecc6b20d3ccac1ee9ef109af5a7cdb85706b1df9
0xa87cc2a513f5d8b4a42432343687c2127c60bc3f,NEP5,Master Contract Token,MCT,8,a87cc2a513f5d8b4a42432343687c2127c60bc3f
0xb951ecbbc5fe37a9c280a76cb0ce0014827294cf,NEP5,DeepBrain Coin,DBC,8,b951ecbbc5fe37a9c280a76cb0ce0014827294cf
0xac116d4b8d4ca55e6b6d4ecce2192039b51cccc5,NEP5,Zeepin Token,ZPT,8,ac116d4b8d4ca55e6b6d4ecce2192039b51cccc5
0x7f86d61ff377f1b12e589a5907152b57e2ad9a7a,NEP5,ACAT Token,ACAT,8,7f86d61ff377f1b12e589a5907152b57e2ad9a7a
0x0d821bd7b6d53f5c2b40e217c6defc8bbe896cf5,NEP5,Qlink Token,QLC,8,0d821bd7b6d53f5c2b40e217c6defc8bbe896cf5
0xab38352559b8b203bde5fddfa0b07d8b2525e132,NEP5,Switcheo,SWTH,8,ab38352559b8b203bde5fddfa0b07d8b2525e132
0x78e6d16b914fe15bc16150aeb11d0c2a8e532bdd,NEP5,Switcheo,SWH,8,78e6d16b914fe15bc16150aeb11d0c2a8e532bdd
0x08e8c4400f1af2c20c28e0018f29535eb85d15b6,NEP5,Trinity Network Credit,TNC,8,08e8c4400f1af2c20c28e0018f29535eb85d15b6
0x45d493a6f73fa5f404244a5fb8472fc014ca5885,NEP5,CPX Token,CPX,8,45d493a6f73fa5f404244a5fb8472fc014ca5885
0x9577c3f972d769220d69d1c4ddbd617c44d067aa,NEP5,Galaxy Token,GALA,8,9577c3f972d769220d69d1c4ddbd617c44d067aa
0xa0777c3ce2b169d4a23bcba4565e3225a0122d95,NEP5,Aphelion,APH,8,a0777c3ce2b169d4a23bcba4565e3225a0122d95
0xde2ed49b691e76754c20fe619d891b78ef58e537,NEP5,Travala,AVA,8,de2ed49b691e76754c20fe619d891b78ef58e537
0x7f48028c38117ac9e42c8e1f6f06ae027cdbb904eaf1a0bdc30c9d81694e045c,Token,无忧宝,无忧宝,8,7f48028c38117ac9e42c8e1f6f06ae027cdbb904eaf1a0bdc30c9d81694e045c
0xacbc532904b6b51b5ea6d19b803d78af70e7e6f9,NEP5,Effect.AI Token,EFX,8,acbc532904b6b51b5ea6d19b803d78af70e7e6f9
0xed07cffad18f1308db51920d99a2af60ac66a7b3,NEP5,Phantasma,SOUL,8,ed07cffad18f1308db51920d99a2af60ac66a7b3
0xc36aee199dbba6c3f439983657558cfb67629599,NEP5,NKN,NKN,8,c36aee199dbba6c3f439983657558cfb67629599
